"Date","Price","Open","High","Low","Change %"
"01-11-2025","5.773","5.872","5.872","5.755","0.68%"
"01-10-2025","5.734","5.790","5.790","5.530","0.21%"
"01-09-2025","5.722","5.870","5.870","5.710","-1.90%"
"01-08-2025","5.833","5.690","5.870","5.660","2.05%"
"01-07-2025","5.716","5.680","5.720","5.620","-0.71%"
"01-06-2025","5.757","5.700","5.800","5.520","1.39%"
"01-05-2025","5.678","6.010","6.050","5.670","-5.48%"
"01-04-2025","6.007","6.420","6.420","5.970","-6.29%"
"01-03-2025","6.410","6.560","6.560","6.410","-2.14%"
"01-02-2025","6.550","6.560","6.620","6.540","-0.76%"
"01-01-2025","6.600","6.710","6.730","6.590","-1.05%"
"01-12-2024","6.670","6.626","6.809","6.604","0.00%"
"01-11-2024","6.670","6.718","6.792","6.646","-0.33%"
"01-10-2024","6.692","6.628","6.759","6.622","0.54%"
"01-09-2024","6.656","6.771","6.806","6.650","-1.32%"
"01-08-2024","6.745","6.815","6.833","6.725","-1.06%"
"01-07-2024","6.817","6.992","7.032","6.811","-1.90%"
"01-06-2024","6.949","7.050","7.150","6.932","-0.66%"
"01-05-2024","6.995","7.141","7.153","6.995","-2.00%"
"01-04-2024","7.138","7.067","7.289","7.008","1.59%"
"01-03-2024","7.026","7.004","7.115","7.002","0.00%"
"01-02-2024","7.026","7.042","7.136","6.978","0.39%"
"01-01-2024","6.999","7.103","7.120","6.999","-1.14%"
"01-12-2023","7.080","7.293","7.293","7.022","-2.52%"
"01-11-2023","7.263","7.364","7.369","7.188","-0.77%"
"01-10-2023","7.319","7.314","7.557","7.261","0.87%"
"01-09-2023","7.256","7.161","7.304","7.122","2.07%"
"01-08-2023","7.109","7.090","7.236","7.029","0.47%"
"01-07-2023","7.076","7.082","7.174","6.974","1.90%"
"01-06-2023","6.944","6.850","7.055","6.790","2.09%"
"01-05-2023","6.802","6.938","6.949","6.771","-1.23%"
"01-04-2023","6.887","7.124","7.124","6.865","-2.28%"
"01-03-2023","7.048","7.348","7.529","7.031","-3.65%"
"01-02-2023","7.315","7.199","7.420","6.962","3.57%"
"01-01-2023","7.063","7.079","7.149","6.875","1.55%"
"01-12-2022","6.955","6.822","7.375","6.802","1.34%"
"01-11-2022","6.863","7.138","7.369","6.849","-2.06%"
"01-10-2022","7.007","7.118","7.448","6.973","-1.11%"
"01-09-2022","7.086","6.682","7.305","6.603","7.46%"
"01-08-2022","6.594","6.742","6.828","6.429","2.93%"
"01-07-2022","6.406","6.599","6.791","6.358","-1.87%"
"01-06-2022","6.528","6.407","6.844","6.360","2.37%"
"01-05-2022","6.377","5.505","6.506","5.505","16.11%"
"01-04-2022","5.492","5.065","5.787","5.005","10.46%"
"01-03-2022","4.972","4.948","5.367","4.894","2.66%"
"01-02-2022","4.843","5.021","5.439","4.774","-3.29%"
"01-01-2022","5.008","4.998","5.235","4.911","0.24%"
"01-12-2021","4.996","4.797","5.302","4.742","5.67%"
"01-11-2021","4.728","5.146","5.146","4.728","-2.11%"
"01-10-2021","4.830","4.713","5.067","4.638","2.79%"
"01-09-2021","4.699","4.443","4.962","4.426","5.79%"
"01-08-2021","4.442","4.650","4.708","4.442","5.06%"
"01-07-2021","4.228","4.539","4.539","4.119","-7.95%"
"01-06-2021","4.593","4.423","4.695","4.241","4.89%"
"01-05-2021","4.379","4.525","4.570","4.244","-1.86%"
"01-04-2021","4.462","4.655","4.895","4.400","-1.65%"
"01-03-2021","4.537","4.798","4.991","4.489","-3.78%"
"01-02-2021","4.715","4.478","4.830","4.478","12.61%"
"01-01-2021","4.187","3.894","4.478","3.858","8.33%"
"01-12-2020","3.865","3.919","4.091","3.861","-1.35%"
"01-11-2020","3.918","4.303","4.303","3.886","-6.49%"
"01-10-2020","4.190","4.431","4.440","4.140","-5.37%"
"01-09-2020","4.428","4.385","4.683","4.336","-0.81%"
"01-08-2020","4.464","4.201","4.547","4.179","6.51%"
"01-07-2020","4.191","4.228","4.298","4.089","0.43%"
"01-06-2020","4.173","4.319","4.389","4.158","-2.36%"
"01-05-2020","4.274","4.490","4.614","4.274","-4.32%"
"01-04-2020","4.467","5.079","5.181","4.298","-11.40%"
"01-03-2020","5.042","5.502","5.502","4.960","-8.16%"
"01-02-2020","5.490","5.852","5.991","5.457","-3.19%"
"01-01-2020","5.671","5.830","5.830","5.664","-1.82%"
"01-12-2019","5.776","5.543","6.127","5.508","4.56%"
